language,average-cld2,single-words-cld2,word-pairs-cld2,sentences-cld2,average-whatlang,single-words-whatlang,word-pairs-whatlang,sentences-whatlang,average-whichlang,single-words-whichlang,word-pairs-whichlang,sentences-whichlang,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Acehnese,,,,,
Afrikaans,55,12,56,96,51,22,41,92,NaN,NaN,NaN,NaN,65,38,63,93,78,58,81,96
Ahom,,,,,
Akkadian,,,,,
AlbanianHistorical,,,,,
AlbanianTosk,,,,,
Amharic,,,,,
AncientGreek,,,,,
Angkola,,,,,
Arabic,66,19,81,99,93,88,92,99,100,100,100,100,92,88,95,94,96,96,99,94
ArabicEgyptian,,,,,
ArabicMesopotamian,,,,,
ArabicMoroccan,,,,,
ArabicNajdi,,,,,
ArabicNorthLevantine,,,,,
ArabicSouthernYemeni,,,,,
ArabicSouthLevantine,,,,,
ArabicTunisian,,,,,
Aramaic,,,,,
Armenian,100,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Assamese,,,,,
Asturian,,,,,
Avestan,,,,,
Awadhi,,,,,
AymaraCentral,,,,,
AzerbaijaniNorth,,,,,
AzerbaijaniSouth,,,,,
Balinese,,,,,
Bambara,,,,,
Bamum,,,,,
Banjar,,,,,
Bantawa,,,,,
Bashkir,,,,,
Basque,61,22,69,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,58,77,69,75,71,85,70
Bassa,,,,,
Belarusian,75,42,87,98,91,81,94,99,NaN,NaN,NaN,NaN,94,85,97,99,96,91,99,99
Bemba,,,,,
Bengali,62,19,69,99,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Berber,,,,,
Bhaiksuki,,,,,
Bhojpuri,,,,,
BishnupriyaManipuri,,,,,
Bokmal,NaN,NaN,NaN,NaN,49,23,43,80,NaN,NaN,NaN,NaN,50,27,47,75,57,38,58,76
Bosnian,18,4,15,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,23,29,35,33,29,34,38
Braille,,,,,
BuddhistMarchen,,,,,
Buginese,,,,,
Buhid,,,,,
Bulgarian,65,31,72,92,69,44,67,96,NaN,NaN,NaN,NaN,79,58,82,97,86,70,91,99
Burmese,,,,,
Carian,,,,,
Catalan,37,4,29,79,51,29,45,80,NaN,NaN,NaN,NaN,61,35,64,84,73,52,78,88
CaucasianAlbanian,,,,,
Cebuano,,,,,
Chakma,,,,,
Cham,,,,,
Cherokee,,,,,
Chhattisgarhi,,,,,
Chinese,33,NaN,2,98,100,100,100,100,97,93,98,100,33,NaN,NaN,99,81,60,84,99
ChineseCantonese,,,,,
ChineseMandarin,,,,,
ChineseTuhua,,,,,
Chokwe,,,,,
Chorasmian,,,,,
Coptic,,,,,
Cree,,,,,
CreoleHaitian,,,,,
